RoleId;PermissionId
1;4172
1;4162
1;5647
4;6931
18;2982
18;6931
18;5096
18;2294
22;7036
23;7036
24;7036
25;7036
38;3861
38;4341
38;4259
38;3825
38;4308
38;4307
38;2635
38;4324
38;4222
38;9360
38;9453
38;12805
47;7036
55;7036
56;7036
57;7036
68;7039
71;4520
71;4519
71;3861
71;5785
71;5096
71;2635
71;4541
71;2294
71;4570
71;4593
71;8380
71;7078
71;9453
71;41
71;9468
75;7036
77;7036
78;7036
79;7036
86;7036
91;7036
92;2982
92;2294
92;7036
95;7036
95;12915
96;7036
96;12915
97;7036
99;7036
100;7036
104;4692
104;6784
104;9555
109;7036
117;2491
120;6781
120;4687
120;9555
122;4692
122;6797
122;9556
124;7036
124;7033
124;7039
125;7036
126;7036
134;7036
134;7033
134;7039
134;2366
134;2365
134;7072
134;7070
134;7073
134;7071
141;7036
142;6796
142;4692
142;9554
143;2366
144;4688
144;6794
144;9554
148;7036
149;7036
150;4648
150;6781
150;9555
152;2366
157;4737
157;7036
157;6799
157;9556
158;7036
159;4520
159;4519
159;3861
159;3825
159;6870
159;2635
159;4621
159;8784
159;7078
159;9453
159;12805
160;4520
160;4519
160;3861
160;3825
160;2982
160;5096
160;2635
160;2294
160;4621
160;8784
160;9453
162;12915
163;12915
164;7036
164;7035
164;7033
164;7034
165;7036
166;7036
169;7036
169;7039
173;7036
174;7036
177;4689
177;6792
177;9554
178;4520
178;4519
178;3861
178;3825
178;6870
178;4622
178;2635
178;8784
178;9453
178;12805
179;4520
179;4519
179;3861
179;3825
179;2982
179;5096
179;4622
179;2635
179;2294
179;8784
179;9453
185;2366
185;7072
185;7070
185;7073
185;7071
186;7036
186;2369
186;2366
186;2364
186;2365
186;2262
187;7036
188;6122
188;4520
188;4519
188;7004
188;7001
188;3861
188;3825
188;4544
188;4733
188;4731
188;4611
188;6870
188;6642
188;4541
188;4620
188;4573
188;7924
188;98
188;7926
188;8784
188;7078
188;4534
188;9360
188;9453
188;12805
188;9468
195;7036
201;4520
201;4519
201;3861
201;5785
201;3825
201;5096
201;4541
201;4573
201;2294
201;4570
201;4594
201;8380
201;7078
201;9453
201;41
201;9468
202;4520
202;4519
202;3861
202;5785
202;5096
202;2635
202;4637
202;2294
202;4570
202;8380
202;9453
205;4687
205;6789
205;9554
208;6787
208;4686
208;9556
209;7036
210;4648
210;6802
210;9556
211;7036
211;7033
211;7039
213;2366
213;7072
213;7070
213;7073
213;7071
214;2366
217;7036
220;6801
220;4690
220;9554
221;2983
225;7036
226;4681
226;6786
226;9555
235;7036
240;7036
240;7035
240;7033
240;7034
242;7036
245;4688
245;6793
245;9554
246;7036
246;7035
246;7033
246;7034
247;7036
248;7036
250;4648
250;6782
250;9555
254;7036
255;6781
255;4682
255;9555
257;7036
257;2369
257;2366
257;2364
257;2365
258;7039
259;7039
261;7036
261;7035
261;7033
261;7034
268;7036
269;7036
273;7036
276;7036
282;2366
288;4690
288;6800
288;9554
293;7036
294;7036
295;7036
298;7036
298;2369
298;2364
298;2365
303;6122
303;4520
303;4519
303;7004
303;7001
303;3861
303;3825
303;4544
303;4733
303;4611
303;6870
303;2635
303;4541
303;4573
303;4619
303;7924
303;98
303;8784
303;7078
303;4534
303;9453
303;12805
303;9468
311;7036
315;7036
316;7036
325;5785
343;5577
344;7036
361;2210
429;5785
429;4488
429;4926
461;4572
461;6857
461;4705
461;7036
461;9556
462;4572
462;6857
462;4705
462;7036
462;9556
463;4572
463;6857
463;4705
463;7036
463;9556
424;4704
424;6859
424;7036
424;9556
425;7036
425;6856
425;4703
425;9556
428;5785
373;5725
373;7036
373;5719
374;5725
374;7036
374;5719
375;5725
375;7036
375;5719
377;5725
377;7036
377;5719
431;4520
431;4816
431;5040
431;3861
431;5785
431;2913
431;4122
431;5659
431;2603
431;2911
431;2294
431;5748
431;8805
431;7454
431;8060
431;8061
431;8095
431;1787
431;84
431;1576
383;5785
383;2982
383;8805
433;7036
433;6856
433;4735
433;9556
434;6857
434;4737
434;7036
434;9556
435;4689
435;7036
435;12928
435;9556
436;6859
436;7036
436;4736
436;9556
437;6795
437;4689
437;7036
437;9556
385;4520
385;4519
385;3861
385;5785
385;5659
385;2603
445;7078
446;6853
446;7036
446;4699
446;9556
447;6854
447;7036
447;4701
447;9556
448;4695
448;6853
448;7036
448;9556
449;6859
449;7036
449;4736
449;9556
450;6855
450;7036
450;9556
450;4700
451;6854
451;4697
451;7036
451;9556
452;4704
452;6859
452;7036
452;9556
453;6857
453;4737
453;7036
453;9556
454;6857
454;4705
454;7036
454;9556
455;7036
455;6856
455;4735
455;9556
456;7036
456;6856
456;4703
456;9556
457;6855
457;7036
457;4696
457;9556
387;4520
387;4519
387;3861
387;3904
387;4507
387;4508
387;4498
387;4518
387;2635
387;4605
387;7036
387;8806
388;4520
388;4519
388;3861
388;2982
388;3904
388;4507
388;4508
388;4498
388;5096
388;4518
388;2635
388;4603
388;2294
388;8806
391;6122
391;4520
391;4519
391;7004
391;7001
391;3861
391;3825
391;4544
391;4733
391;4611
391;6870
391;4541
391;4573
391;4619
391;8784
391;7078
391;4534
391;9453
391;9468
391;7924
393;7036
393;7033
393;7039
394;7036
394;7033
394;7039
395;6857
395;4705
395;7036
395;9556
396;3861
396;2982
396;4542
396;4544
396;4733
396;4731
396;4732
396;5096
396;4572
396;5379
396;4603
396;4637
396;2294
396;7036
396;8806
397;4520
397;4519
397;3861
397;3825
