Testovac’ data (z firmy);;Vùstup algoritmu;
id_user;id_permission;id_user;id_permission
18;8;18;8
18;166;18;166
18;219;18;219
18;228;18;228
18;232;18;232
18;452;18;452
18;542;18;542
18;546;18;546
18;548;18;548
18;572;18;572
18;582;18;582
18;1347;18;1347
18;1353;18;1353
18;1662;18;1662
18;1944;18;1944
18;1961;18;1961
18;2264;18;2264
18;2269;18;2269
18;2278;18;2278
18;2279;18;2279
18;2294;18;2294
18;2363;18;2363
18;2366;18;2366
18;2491;18;2491
18;2603;18;2603
18;2635;18;2635
18;2759;18;2759
18;2921;18;2921
18;2945;18;2945
18;2982;18;2982
18;3025;18;3025
18;3861;18;3861
18;4162;18;4162
18;4172;18;4172
18;4519;18;4519
18;4535;18;4535
18;4697;18;4697
18;4731;18;4731
18;4816;18;4816
18;4819;18;4819
18;5096;18;5096
18;5382;18;5382
18;5399;18;5399
18;5405;18;5405
18;5406;18;5406
18;5409;18;5409
18;5414;18;5414
18;5419;18;5419
18;5421;18;5421
18;5425;18;5425
18;5444;18;5444
18;5446;18;5446
18;5449;18;5449
18;5451;18;5451
18;5453;18;5453
18;5475;18;5475
18;5476;18;5476
18;5481;18;5481
18;5482;18;5482
18;5484;18;5484
18;5489;18;5489
18;5512;18;5512
18;5514;18;5514
18;5532;18;5532
18;5533;18;5533
18;5539;18;5539
18;5543;18;5543
18;5544;18;5544
18;5545;18;5545
18;5547;18;5547
18;5549;18;5549
18;5551;18;5551
18;5552;18;5552
18;5554;18;5554
18;5563;18;5563
18;5564;18;5564
18;5573;18;5573
18;5599;18;5599
18;5647;18;5647
18;5659;18;5659
18;5712;18;5712
18;5721;18;5721
18;5724;18;5724
18;5726;18;5726
18;5742;18;5742
18;5744;18;5744
18;5748;18;5748
18;5785;18;5785
18;5816;18;5816
18;5818;18;5818
18;6769;18;6769
18;6854;18;6854
18;6874;18;6874
18;6875;18;6875
18;6876;18;6876
18;6931;18;6931
18;7001;18;7001
18;7004;18;7004
18;7036;18;7036
18;7086;18;7086
18;7087;18;7087
18;7095;18;7095
18;7096;18;7096
18;7097;18;7097
18;7103;18;7103
18;7105;18;7105
18;7339;18;7339
18;7413;18;7413
18;8052;18;8052
18;8805;18;8805
18;9363;18;9363
18;9556;18;9556
18;9557;18;9557
18;9618;18;9618
18;13139;18;13139
18;13222;18;13222
18;13272;18;13272
18;13464;18;13464
18;13531;18;13531
18;13532;18;13532
18;15022;18;15022
18;15802;18;15802
18;15892;18;15892
18;15894;18;15894
18;16116;18;16116
18;16274;18;16274
18;16277;18;16277
18;16278;18;16278
18;16279;18;16279
18;16293;18;16293
18;16297;18;16297
18;16301;18;16301
18;16305;18;16305
18;16387;18;16387
18;16402;18;16402
18;16445;18;16445
18;16446;18;16446
18;16479;18;16479
18;16548;18;16548
18;16549;18;16549
18;16565;18;16565
18;16571;18;16571
18;16597;18;16597
18;16598;18;16598
18;16599;18;16599
18;16622;18;16622
18;16675;18;16675
18;16923;18;16923
18;17329;18;17329
18;17334;18;17334
18;17681;18;17681
18;19403;18;19403
18;19598;18;19598
18;19599;18;19599
18;19874;18;19874
18;20308;18;20308
18;20764;18;20764
18;22444;18;22444
18;22856;18;22856
18;23172;18;23172
89;546;;
89;548;;
89;2636;;
89;4648;;
89;4731;;
89;5418;;
89;5446;;
89;5449;;
89;5453;;
89;5476;;
89;5554;;
89;5573;;
89;5599;;
89;5719;;
89;5726;;
89;5744;;
89;5816;;
89;7078;;
89;13139;;
89;20381;;
97;28;;
97;2762;;
97;2982;;
97;4139;;
97;5647;;
97;5785;;
97;7087;;
97;7095;;
97;7105;;
97;8805;;
97;13408;;
97;15717;;
97;17334;;
97;19598;;
134;546;;
134;582;;
134;5382;;
134;5399;;
134;5409;;
134;5446;;
134;5449;;
134;5453;;
134;5476;;
134;5484;;
134;5547;;
134;5554;;
134;5816;;
144;546;;
144;548;;
144;5446;;
144;5453;;
144;5476;;
144;5512;;
144;5724;;
144;5816;;
144;16116;;
150;546;;
150;5446;;
150;5449;;
150;5453;;
150;5476;;
150;5573;;
150;5816;;
177;546;;
177;4697;;
177;5446;;
177;5449;;
177;5453;;
177;5476;;
177;5573;;
177;5816;;
177;6854;;
177;7036;;
177;9556;;
186;7095;;
186;9618;;
186;17334;;
188;219;;
188;546;;
188;582;;
188;1347;;
188;2294;;
188;2759;;
188;2982;;
188;5096;;
188;5405;;
188;5446;;
188;5449;;
188;5451;;
188;5475;;
188;5476;;
188;5481;;
188;5482;;
188;5489;;
188;5712;;
188;5785;;
188;13272;;
188;16297;;
191;16446;;
215;6931;;
215;20764;;
232;5742;;
232;5785;;
263;8;;
263;2294;;
263;2982;;
263;5096;;
263;5744;;
263;5748;;
263;5785;;
263;7339;;
263;8052;;
263;15022;;
263;17329;;
279;71;;
279;122;;
279;123;;
279;1278;;
279;1632;;
279;2982;;
279;4913;;
279;7087;;
279;7101;;
279;7103;;
279;7105;;
279;12775;;
279;12784;;
279;16236;;
279;17334;;
279;19597;;
279;19874;;
279;19876;;
279;20308;;
300;51;;
300;2644;;
300;4138;;
300;4648;;
